ProductID,Category,Sub Category,Product Name ,Price,COGSPrice,Discount
PRO00061,Technology,Phones,Iphone 15,1299,999.99,0
PRO00062,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00063,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00064,Technology,Accessories,CPU Cooler,99,54,0.12
PRO00065,Office Supplies,Storage,Pinebrook Storage ,299,150,0.15
PRO00066,Technology,Machines,AutoMach Nova,2299,2165,0.12
PRO00067,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.1
PRO00068,Technology,Phones,Iphone 15,1299,999.99,0.1
PRO00069,Office Supplies,Art,Highlighter,99,47,0.1
PRO00070,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.12
PRO00071,Furniture,Bookcases,BookNest Pro ,249,150,0.1
PRO00072,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.1
PRO00073,Office Supplies,Art,Highlighter,99,47,0.11
PRO00074,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.12
PRO00075,Office Supplies,Binders,ProFile Binder,12.99,6,0.12
PRO00076,Office Supplies,Art,Highlighter,99,47,0.1
PRO00077,Office Supplies,Art,Highlighter,99,47,0
PRO00078,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00079,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00080,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00081,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00082,Office Supplies,Art,Highlighter,99,47,0
PRO00083,Office Supplies,Art,Highlighter,99,47,0.12
PRO00084,Furniture,Bookcases,BookNest Pro ,249,150,0.15
PRO00085,Technology,Machines,AutoMach Nova,2299,2165,0.12
PRO00086,Furniture,Bookcases,BookNest Pro ,249,150,0.1
PRO00087,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00088,Furniture,Furnishings,Cozyhaven Throw,59,30,0.1
PRO00089,Office Supplies,Binders,ProFile Binder,12.99,6,0.12
PRO00090,Office Supplies,Art,Highlighter,99,47,0
PRO00091,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00092,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00093,Technology,Phones,Iphone 15,1299,999.99,0.1
PRO00094,Technology,Accessories,CPU Cooler,99,54,0.12
PRO00095,Office Supplies,Storage,Pinebrook Storage ,299,150,0.13
PRO00096,Technology,Phones,Iphone 15,1299,999.99,0
PRO00097,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.1
PRO00098,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00099,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.11
PRO00100,Office Supplies,Binders,ProFile Binder,12.99,6,0.12
PRO00101,Technology,Phones,Iphone 15,1299,999.99,0.12
PRO00102,Furniture,Bookcases,BookNest Pro ,249,150,0.1
PRO00103,Technology,Copiers,Tech Replica Pro,49.99,30.99,0
PRO00104,Furniture,Tables,Liberty Dining Table,899,450,0
PRO00105,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00106,Office Supplies,Art,Highlighter,99,47,0
PRO00107,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00108,Office Supplies,Appliances,Calculator,25,19,0
PRO00109,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.12
PRO00110,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.15
PRO00111,Office Supplies,Storage,Pinebrook Storage ,299,150,0.12
PRO00112,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.1
PRO00113,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00114,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.1
PRO00115,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00116,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00117,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00118,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00119,Office Supplies,Art,Highlighter,99,47,0.1
PRO00120,Office Supplies,Binders,ProFile Binder,12.99,6,0.12
PRO00121,Office Supplies,Binders,ProFile Binder,12.99,6,0.13
PRO00122,Technology,Accessories,CPU Cooler,99,54,0
PRO00123,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00124,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.12
PRO00125,Office Supplies,Art,Highlighter,99,47,0.1
PRO00126,Furniture,Chairs,Relaxo Chair,199,120,0.1
PRO00127,Office Supplies,Storage,Pinebrook Storage ,299,150,0.11
PRO00128,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00129,Technology,Phones,Iphone 15,1299,999.99,0.12
PRO00130,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.1
PRO00131,Technology,Phones,Iphone 15,1299,999.99,0
PRO00132,Office Supplies,Art,Highlighter,99,47,0
PRO00133,Furniture,Tables,Liberty Dining Table,899,450,0
PRO00134,Office Supplies,Art,Highlighter,99,47,0
PRO00135,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00136,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00137,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00138,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.15
PRO00139,Office Supplies,Storage,Pinebrook Storage ,299,150,0.12
PRO00140,Furniture,Furnishings,Cozyhaven Throw,59,30,0.1
PRO00141,Office Supplies,Appliances,Calculator,25,19,0.1
PRO00142,Office Supplies,Art,Highlighter,99,47,0.1
PRO00143,Furniture,Furnishings,Cozyhaven Throw,59,30,0.12
PRO00144,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00145,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00146,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00147,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00148,Technology,Accessories,CPU Cooler,99,54,0.12
PRO00149,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.13
PRO00150,Furniture,Bookcases,BookNest Pro ,249,150,0
PRO00151,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00152,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00153,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.1
PRO00154,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00155,Furniture,Furnishings,Cozyhaven Throw,59,30,0.1
PRO00156,Office Supplies,Binders,ProFile Binder,12.99,6,0.11
PRO00157,Office Supplies,Storage,Pinebrook Storage ,299,150,0.12
PRO00158,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00159,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00160,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0
PRO00161,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00162,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00163,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00164,Technology,Copiers,Tech Replica Pro,49.99,30.99,0
PRO00165,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00166,Office Supplies,Storage,Pinebrook Storage ,299,150,0.12
PRO00167,Office Supplies,Storage,Pinebrook Storage ,299,150,0.15
PRO00168,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.12
PRO00169,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00170,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.1
PRO00171,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00172,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00173,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00174,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00175,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00176,Technology,Accessories,CPU Cooler,99,54,0.1
PRO00177,Technology,Machines,AutoMach Nova,2299,2165,0.12
PRO00178,Furniture,Chairs,Relaxo Chair,199,120,0.13
PRO00179,Technology,Phones,Iphone 15,1299,999.99,0
PRO00180,Furniture,Bookcases,BookNest Pro ,249,150,0
PRO00181,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.12
PRO00182,Furniture,Bookcases,BookNest Pro ,249,150,0.1
PRO00183,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.1
PRO00184,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00185,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.11
PRO00186,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.12
PRO00187,Office Supplies,Storage,Pinebrook Storage ,299,150,0.12
PRO00188,Furniture,Furnishings,Cozyhaven Throw,59,30,0.1
PRO00189,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00190,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00191,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00192,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0
PRO00193,Office Supplies,Binders,ProFile Binder,12.99,6,0
PRO00194,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00195,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00196,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.15
PRO00197,Office Supplies,Binders,ProFile Binder,12.99,6,0.12
PRO00198,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00199,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00200,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.1
PRO00201,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00202,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00203,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00204,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00205,Office Supplies,Appliances,Calculator,25,19,0.1
PRO00206,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00207,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.13
PRO00208,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0
PRO00209,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00210,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.12
PRO00211,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00212,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00213,Technology,Accessories,Keyboard,99.23,45.56,0.1
PRO00214,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.1
PRO00215,Office Supplies,Art,Tape Dipenser,56,35,0.11
PRO00216,Furniture,Furnishings,Cozyhaven Throw,59,30,0.12
PRO00217,Technology,Phones,Iphone 15,1299,999.99,0.12
PRO00218,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00219,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00220,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00221,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00222,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0
PRO00223,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0
PRO00224,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00225,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00226,Office Supplies,Storage,Pinebrook Storage ,299,150,0.15
PRO00227,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.12
PRO00228,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.1
PRO00229,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00230,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00231,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00232,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0
PRO00233,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00234,Furniture,Bookcases,BookNest Pro ,249,150,0
PRO00235,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.1
PRO00236,Office Supplies,Storage,Pinebrook Storage ,299,150,0.12
PRO00237,Technology,Accessories,Keyboard,99.23,45.56,0.13
PRO00238,Office Supplies,Appliances,Calculator,25,19,0
PRO00239,Technology,Accessories,Keyboard,99.23,45.56,0
PRO00240,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00241,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.1
PRO00242,Furniture,Bookcases,BookNest Pro ,249,150,0
PRO00243,Office Supplies,Appliances,Calculator,25,19,0.1
PRO00244,Furniture,Bookcases,BookNest Pro ,249,150,0.1
PRO00245,Furniture,Chairs,Relaxo Chair,199,120,0.11
PRO00246,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00247,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.12
PRO00248,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00249,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0
PRO00250,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00251,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00252,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00253,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0
PRO00254,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00255,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00256,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.15
PRO00257,Furniture,Furnishings,Cozyhaven Throw,59,30,0.12
PRO00258,Furniture,Tables,Liberty Dining Table,899,450,0.1
PRO00259,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00260,Furniture,Chairs,Relaxo Chair,199,120,0.1
PRO00261,Technology,Phones,Iphone 15,1299,999.99,0.12
PRO00262,Technology,Phones,Iphone 15,1299,999.99,0
PRO00263,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00264,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00265,Technology,Phones,Iphone 15,1299,999.99,0.1
PRO00266,Technology,Accessories,Keyboard,99.23,45.56,0.12
PRO00267,Office Supplies,Appliances,Calculator,25,19,0.13
PRO00268,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0
PRO00269,Office Supplies,Storage,Pinebrook Storage ,299,150,0
PRO00270,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.12
PRO00271,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00272,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00273,Office Supplies,Storage,Pinebrook Storage ,299,150,0.1
PRO00274,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00275,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.11
PRO00276,Furniture,Furnishings,Cozyhaven Throw,59,30,0.12
PRO00277,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00278,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00279,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0
PRO00280,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.12
PRO00281,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00282,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0
PRO00283,Office Supplies,Storage,Horizon Storage,159,80,0
PRO00284,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00285,Furniture,Furnishings,Cozyhaven Throw,59,30,0.12
PRO00286,Furniture,Furnishings,Cozyhaven Throw,59,30,0.15
PRO00287,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00288,Office Supplies,Storage,Horizon Storage,159,80,0.1
PRO00289,Furniture,Bookcases,BookNest Pro ,249,150,0.1
PRO00290,Office Supplies,Storage,Horizon Storage,159,80,0.1
PRO00291,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00292,Office Supplies,Storage,Horizon Storage,159,80,0.1
PRO00293,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0.1
PRO00294,Furniture,Bookcases,BookNest Pro ,249,150,0.11
PRO00295,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00296,Technology,Accessories,Keyboard,99.23,45.56,0.12
PRO00297,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00298,Technology,Phones,Iphone 15,1299,999.99,0
PRO00299,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00300,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00301,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00302,Office Supplies,Binders,ClearView Organizer,9.99,4.5,0
PRO00303,Furniture,Bookcases,BookNest Pro ,249,150,0
PRO00304,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00305,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.15
PRO00306,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00307,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0.1
PRO00308,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.1
PRO00309,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.1
PRO00310,Technology,Phones,Iphone 15,1299,999.99,0.12
PRO00311,Office Supplies,Appliances,Calculator,25,19,0
PRO00312,Technology,Copiers,Tech Replica Pro,49.99,30.99,0
PRO00313,Furniture,Chairs,Relaxo Chair,199,120,0.1
PRO00314,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.1
PRO00315,Furniture,Furnishings,Cozyhaven Throw,59,30,0.11
PRO00316,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00317,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00318,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00319,Office Supplies,Paper,Paper Flow Organizer,19.99,9.5,0
PRO00320,Technology,Accessories,Keyboard,99.23,45.56,0
PRO00321,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0
PRO00322,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00323,Office Supplies,Paper,Eco Paper Roll,29.99,15,0
PRO00324,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00325,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00326,Office Supplies,Art,Tape Dipenser,56,35,0.15
PRO00327,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.12
PRO00328,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.1
PRO00329,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.1
PRO00330,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.1
PRO00331,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00332,Technology,Machines,AutoMach Nova,2299,2165,0
PRO00333,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00334,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.1
PRO00335,Office Supplies,Art,Tape Dipenser,56,35,0.11
PRO00336,Office Supplies,Art,Tape Dipenser,56,35,0.12
PRO00337,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00338,Office Supplies,Paper,Eco Paper Roll,29.99,15,0.1
PRO00339,Office Supplies,Paper,Eco Paper Roll,29.99,15,0
PRO00340,Furniture,Furnishings,Cozyhaven Throw,59,30,0
PRO00341,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00342,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00343,Furniture,Chairs,Relaxo Chair,199,120,0
PRO00344,Technology,Copiers,Tech Replica Pro,49.99,30.99,0
PRO00345,Technology,Machines,AutoMach Nova,2299,2165,0.12
PRO00346,Office Supplies,Appliances,Calculator,25,19,0.15
PRO00347,Furniture,Bookcases,BookNest Pro ,249,150,0.12
PRO00348,Office Supplies,Storage,Horizon Storage,159,80,0.1
PRO00349,Technology,Accessories,Keyboard,99.23,45.56,0.1
PRO00350,Technology,Copiers,Tech Replica Pro,49.99,30.99,0.1
PRO00351,Office Supplies,Paper,Eco Paper Roll,29.99,15,0.12
PRO00352,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00353,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0
PRO00354,Office Supplies,Storage,Horizon Storage,159,80,0
PRO00355,Office Supplies,Appliances,Calculator,25,19,0.1
PRO00356,Office Supplies,Storage,Horizon Storage,159,80,0.12
PRO00357,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.13
PRO00358,Office Supplies,Art,Tape Dipenser,56,35,0
PRO00359,Technology,Accessories,Card Reader,59.54,39.58,0
PRO00360,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.1
PRO00361,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.1
PRO00362,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.11
PRO00363,Furniture,Chairs,Relaxo Chair,199,120,0.12
PRO00364,Office Supplies,Storage,Horizon Storage,159,80,0.12
PRO00365,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.1
PRO00366,Office Supplies,Paper,Eco Paper Roll,29.99,15,0
PRO00367,Office Supplies,Binders,Flexi Binder,14.99,7.5,0
PRO00368,Office Supplies,Paper,Eco Paper Roll,29.99,15,0
PRO00369,Office Supplies,Binders,Flexi Binder,14.99,7.5,0
PRO00370,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0
PRO00371,Furniture,Furnishings,Luxecushion Set,99,59,0
PRO00372,Office Supplies,Labels,Clearmark Labels,12.99,6.5,0.12
PRO00373,Furniture,Bookcases,BookNest Pro ,249,150,0.15
PRO00374,Office Supplies,Binders,Flexi Binder,14.99,7.5,0.12
PRO00375,Office Supplies,Storage,Horizon Storage,159,80,0.1
PRO00376,Technology,Phones,Iphone 15,1299,999.99,0.1
PRO00377,Technology,Machines,AutoMach Nova,2299,2165,0.1
PRO00378,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.12
PRO00379,Technology,Phones,Samsung,999,599.65,0
PRO00380,Office Supplies,Storage,Horizon Storage,159,80,0
PRO00381,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0
PRO00382,Furniture,Furnishings,Luxecushion Set,99,59,0.1
PRO00383,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00384,Furniture,Furnishings,Luxecushion Set,99,59,0.1
PRO00385,Office Supplies,Art,Tape Dipenser,56,35,0.1
PRO00386,Office Supplies,Art,Tape Dipenser,56,35,0.11
PRO00387,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00388,Office Supplies,Fasteners,Secure Fix ,14.99,7.5,0.12
PRO00389,Office Supplies,Paper,Eco Paper Roll,29.99,15,0.1
PRO00390,Office Supplies,Binders,Flexi Binder,14.99,7.5,0
PRO00391,Office Supplies,Paper,Eco Paper Roll,29.99,15,0
PRO00392,Office Supplies,Binders,Flexi Binder,14.99,7.5,0
PRO00393,Furniture,Furnishings,Luxecushion Set,99,59,0
PRO00394,Technology,Copiers,Tech Replica Pro,49.99,30.99,0
PRO00395,Furniture,Tables,Liberty Dining Table,899,450,0
PRO00396,Office Supplies,Envelopes,RoyalSeal Envelopes,12.99,5.5,0.12
PRO00397,Office Supplies,Supplies,Pinecarft Wood Stain ,29.99,12.5,0.15
PRO00398,Office Supplies,Storage,Horizon Storage,159,80,0.12
